"","alpha","efe_1","T","y_2","final_reg_quant","gamma_0","gamma_1","predicted"
"502",-0.417640379668047,-17.8793269385571,"t4901",-1.11323114454959,-3.47633833589216,-3.43900350280436,0.00453546025716344,-3.52009447955901
"503",-5.33338056825602,38.4171886940662,"t4902",-2.89267812319311,-3.28180706234666,-3.44159060348021,0.0046458532560607,-3.26310998229719
"504",-2.13817646146276,-59.4298827974076,"t4903",-2.54726412135065,-3.61991529544136,-3.43919855508564,0.00460603984602024,-3.71293496329481
"505",-5.31918851901023,-70.9689707539925,"t4904",-193.720191989079,-3.65978833998992,-3.43530366784436,0.0046102458863248,-3.76248807331966
"506",-9.45920248882114,-43.1028715195418,"t4905",-0.0933093203262496,-3.56349769549962,-3.43686469188795,0.00448770003809888,-3.63029745004837
"507",3.32718543599059,-76.5879139294045,"t4906",-207.952113256594,-3.67920446476441,-3.43448095102393,0.00476833481215975,-3.7996777672042
"508",7.86973943805345,144.639689175212,"t4907",16.1966462364292,-2.9147577331727,-3.42600339281621,0.00474185444383635,-2.74014303994563
"509",-3.17951806817585,47.6663575142785,"t4908",-2.19591920376474,-3.24984677902158,-3.42925936515362,0.00467058424560436,-3.20662962670208
"510",2.89826656549642,165.340730002751,"t4909",-2.12329158936192,-2.84322577794162,-3.44458569366123,0.00475995561363379,-2.65757115772232
"511",-3.17924356291934,198.070078189816,"t4910",-2.58004223132622,-2.73013029212696,-3.44007291219733,0.00464935959098432,-2.5191738944785
"512",-1.89269069895942,-55.84514447732,"t4911",-2.36616177037943,-3.60752831726166,-3.4386638185458,0.00471709847176593,-3.70209086421531
"513",-6.40744750796798,66.6988373376789,"t4912",0.0284065631937738,-3.18408049673626,-3.43720326452306,0.00466701588299278,-3.12591873129096
"514",4.48413142894449,3.92015206509765,"t4913",-2.80262171860498,-3.40101075361543,-3.44216151012002,0.00468467377791422,-3.42379687653522
"515",-9.38711638811008,-44.3842523615922,"t4914",-2.1664319779422,-3.56792547658518,-3.44323062349993,0.00470056770535124,-3.65186180677699
"516",2.69069314872766,35.4933594364302,"t4915",-0.0686363375262531,-3.29191028494802,-3.43816711515381,0.00467403066993597,-3.27227006456888
"517",4.22846447477774,-104.531608913525,"t4916",-2.71965799567093,-3.77576323952592,-3.43990856533689,0.00472245940290778,-3.93355484475164
"518",-1.78876802786744,-75.6964854987084,"t4917",0.972885731355603,-3.6761241549806,-3.43382161936804,0.00463170892117716,-3.78442570655416
"519",-0.460005010576546,-142.64331392764,"t4918",-0.350651981807442,-3.9074573316038,-3.43966815797617,0.00460465225821771,-4.09649101557274
"520",-1.38980639452177,-44.4995424861446,"t4919",-2.81970182815575,-3.56832385887411,-3.42833576479551,0.0045560373754525,-3.63107734355292
"521",3.11795321420248,49.9722990967169,"t4920",-1.40526251261782,-3.24187865261602,-3.42843179863815,0.00459193441467301,-3.1989622786356
"522",-4.21136826481556,-4.65390261227771,"t4921",-1.25157340554072,-3.43063819604407,-3.43176960885589,0.00469783755191128,-3.45363288731079
"523",-2.08254281033026,-59.5034107125774,"t4922",-26.6307253647589,-3.62016936940701,-3.42677220576359,0.00455726090764065,-3.6979447732753
"524",1.81895762529889,-72.7839046092028,"t4923",-3.91112284722099,-3.66605980084832,-3.42193969433449,0.00449115572826062,-3.74882354444529
"525",-8.46176513247038,8.90632677942004,"t4924",-1.87769689576874,-3.38378114523918,-3.42187492109639,0.00449471421792644,-3.38184352749143
"526",2.52707975435992,126.374113258864,"t4925",-2.67832640195791,-2.97787399721001,-3.4333883035221,0.00449552805985121,-2.86526993132806
"527",-7.48969217817074,54.025578190994,"t4926",-0.136169803575881,-3.22787264291214,-3.43654823134609,0.00456729349294151,-3.18979755962196
"528",-5.88677241518773,125.016158719344,"t4927",-1.43023447079413,-2.98256637688967,-3.43935230386295,0.00468727397656164,-2.85336731644808
"529",-1.13362983639172,32.7480765186898,"t4928",-1.46326391197205,-3.30139654490975,-3.4385184425111,0.004682891590366,-3.28516275038107
"530",-3.64387841580329,-70.6927460764003,"t4929",-1.38120146358998,-3.65883385217281,-3.43623833873959,0.004569480934659,-3.75926749415439
"531",-6.86887274187777,-53.5733151585976,"t4930",1.17580101971385,-3.59967806497371,-3.43203730268531,0.00451782475381664,-3.67407215205284
"532",0.250985685782667,-57.3780981960021,"t4931",-1.31254535453937,-3.61282540245123,-3.43489525689069,0.00461206161100273,-3.69952658089282
"533",-2.3882257350371,-118.476104049252,"t4932",0.317391474102513,-3.82394811148859,-3.4342493215712,0.00461477611870048,-3.98099001717436
"534",-3.36866690508058,-66.7590336683992,"t4933",-4.39154097856905,-3.64524100231539,-3.43463005239932,0.00456580009663141,-3.73943845477352
"535",-9.30383583012056,48.9306835916497,"t4934",-2.14836731765833,-3.24547793027057,-3.43082368669936,0.00440137126591865,-3.21546158191732
"536",1.93973358534245,46.8760779994136,"t4935",-0.329712241738332,-3.25257757112756,-3.43210299749723,0.00446149834391468,-3.22296545313363
"537",-5.87932785895673,-28.4476990174413,"t4936",-0.716738032379181,-3.5128570947657,-3.43577734692465,0.00445178454481817,-3.56242037374614
"538",-12.1688381060176,-93.593082189178,"t4937",-8.6581942085766,-3.73796542006077,-3.4404362859267,0.00437273570493123,-3.84969409814988
"539",11.1344306190419,61.0391892021483,"t4938",-2.85086300008341,-3.2036372765343,-3.43314590852743,0.00451072702909371,-3.15781478795933
"540",-3.3171083011945,-10.1747795025317,"t4939",-5.2940348993138,-3.44971545509786,-3.43316270161658,0.0045223933715599,-3.47917705699591
"541",3.97230987909831,23.404002947717,"t4940",-0.332396640880348,-3.33368476934847,-3.43220991133731,0.00455047346647037,-3.32571061691453
"542",5.95469657705044,-2.78533922260832,"t4941",-1.75277376172302,-3.42418141960226,-3.43658424809642,0.00455868645945728,-3.44928173629552
"543",1.03843320962764,56.8666314108951,"t4942",-1.08858143678425,-3.21805545094444,-3.43142836438315,0.00445403035312022,-3.17814266199933
"544",3.45067967027066,46.1918147447911,"t4943",-1.94584414788345,-3.25494202656261,-3.44095582666567,0.00476701847885757,-3.22075859220528
"545",-9.31330251219055,-130.619013721825,"t4944",-2.39397867143927,-3.86590764764476,-3.43116785786271,0.00472729489400399,-4.04864245448973
"546",-5.38677771252283,97.1027897406413,"t4945",-3.99805925801776,-3.07902036085925,-3.43995470379556,0.00492436722188317,-2.96178490884333
"547",-0.167515631997513,-29.7114519678814,"t4946",-9.04884692455669,-3.5172239630902,-3.44208630644339,0.00491266905367792,-3.58804883706583
"548",-3.84816564322861,29.6453031083673,"t4947",-7.91666760378278,-3.3121181047834,-3.43701281897467,0.00488987630090517,-3.29205095387191
"549",-2.425098097602,-27.4834355428344,"t4948",-5.77532976150255,-3.50952510521642,-3.43930719464056,0.00496271394141943,-3.57569962336709
"550",-7.73210254108481,32.3936010619998,"t4949",-0.477139254574633,-3.30262142643671,-3.43778534569458,0.00482872363943626,-3.28136559848003
"551",1.79264587440385,-14.2864897535389,"t4950",-2.70488910137133,-3.46392337227693,-3.43689001327806,0.00474313085126109,-3.5046527035843
